"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[19992]","CONTINENTAL FLOOD BASALT","SIBERIAN TRAPS / NORILSK REGION / KHAKANSHAN (KHAKANCHANSKY) FORMATION","KHANTAYSKOE LAKE","68.2212719880045","68.2212719880045","90.4560045339168","90.4560045339168","SAE","","","s_S10-3 [19992]","BASALT [19992]","","","","","","","","","VOL","","","","","WR [19992] ","48.7","1.05","","14.54","","","","11.54","11.1","6.69","0.17","","0.32","2.01","0.14","","","","","","","","","","","","","","","","3.26","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.41","","246.86","146.3","","","44.58","98.89","98.66","103.03","16.52","","","","","10.46","265.66","22.25","99.88","3.74","0.95","","","","","","","0.63","0.14","","","1.74","189.68","8.46","18.26","2.35","11.71","3.01","0.83","3.41","0.5","3.74","0.67","2.21","0.26","2.05","0.27","2.24","","","","","","","","","","3.55","","1.55","0.6","","","","","","","","","","","","","","","","","","","","","","","","","1006988",
"[19992]","CONTINENTAL FLOOD BASALT","SIBERIAN TRAPS / NORILSK REGION / KHAKANSHAN (KHAKANCHANSKY) FORMATION","KHANTAYSKOE LAKE","68.2212719880045","68.2212719880045","90.4560045339168","90.4560045339168","SAE","","","s_S10-11 [19992]","BASALT [19992]","","","","","","","","","VOL","","","","","WR [19992] ","49.1","1.13","","15.25","","","","12.44","11.31","7.19","0.2","","0.18","2.05","0.15","","","","","","","","","","","","","","","","1.07","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.12","","269.34","158.67","","","48.53","122.4","120.45","88.25","17.07","","","","","4.24","204.21","24.36","97.07","4.31","1.1","","","","","","","0.57","0.13","","","0.15","101.97","6.59","14.94","2.01","10.5","2.93","0.88","3.51","0.53","3.91","0.72","2.38","0.31","2.27","0.3","2.05","","","","","","","","","","2.42","","1.11","0.49","","","","","","","","","","","","","","","","","","","","","","","","","1006989",
"[19992]","CONTINENTAL FLOOD BASALT","SIBERIAN TRAPS / NORILSK REGION / KHAKANSHAN (KHAKANCHANSKY) FORMATION","KHANTAYSKOE LAKE","68.4223116841168","68.4223116841168","93.6045247223229","93.6045247223229","SAE","","","s_S10-12 [19992]","BASALT [19992]","","","","","","","","","VOL","","","","","WR [19992] ","49.09","1.12","","15.28","","","","12.65","11.23","7.42","0.19","","0.22","2.05","0.15","","","","","","","","","","","","","","","","1.02","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.86","","290.25","138.05","","","48.92","124.62","126.31","74.63","16.93","","","","","6.42","204.52","23.91","92.57","3.05","1","","","","","","","0.54","0.18","","","0.15","113.88","6.91","14.76","2.01","10.57","2.87","0.83","3.46","0.52","3.91","0.69","2.37","0.3","2.26","0.28","1.93","","","","","","","","","","1.8","","1.05","0.48","","","","","","","","","","","","","","","","","","","","","","","","","1006990",
"[19992]","CONTINENTAL FLOOD BASALT","SIBERIAN TRAPS / NORILSK REGION / KHAKANSHAN (KHAKANCHANSKY) FORMATION","KHANTAYSKOE LAKE","68.4223116841168","68.4223116841168","93.6045247223229","93.6045247223229","SAE","","","s_S10-13 [19992]","BASALT [19992]","","","","","","","","","VOL","","","","","WR [19992] ","49.79","1.06","","15.43","","","","12.34","11.81","7.71","0.19","","0.36","2.12","0.14","","","","","","","","","","","","","","","","0.21","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.75","","278.37","167.34","","","50.08","127.45","124.71","6.31","16.96","","","","","3.87","196.48","23.32","85.44","2.98","0.05","","","","","","","0.03","0.01","","","","120.15","6.43","14.09","1.88","10.27","2.84","0.85","3.44","0.52","3.79","0.68","2.33","0.3","2.25","0.28","1.92","","","","","","","","","","0.14","","1","0.45","","","","","","","","","","","","","","","","","","","","","","","","","1006991",
"[19992]","CONTINENTAL FLOOD BASALT","SIBERIAN TRAPS / PUTORANA REGION / AYAN(SKY) FORMATION","DYUPKUN LAKE","68.4220673516393","68.4220673516393","93.6069941986353","93.6069941986353","SAE","","","s_S10-15 [19992]","BASALT [19992]","","","","","","","","","VOL","","","","","WR [19992] ","49.19","1.04","","15.44","","","","12.18","11.59","7.57","0.19","","0.14","1.92","0.13","","","","","","","","","","","","","","","","1.33","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.41","","265.08","163.59","","","49.44","129.09","116.32","83.25","16.5","","","","","1.29","187.28","22.36","80.51","2.15","0.84","","","","","","","0.44","0.16","","","0.01","116.91","5.75","12.84","1.75","9.5","2.62","0.82","3.17","0.49","3.55","0.66","2.19","0.27","2.16","0.28","1.8","","","","","","","","","","1.7","","0.89","0.41","","","","","","","","","","","","","","","","","","","","","","","","","1006992",
"[19992]","CONTINENTAL FLOOD BASALT","SIBERIAN TRAPS / PUTORANA REGION / AYAN(SKY) FORMATION","DYUPKUN LAKE","68.42564759776","68.42564759776","93.6108975671233","93.6108975671233","SAE","","","s_S10-19 [19992]","BASALT [19992]","","","","","","","","","VOL","","","","","WR [19992] ","49.43","1.03","","14.96","","","","11.99","11.58","7.29","0.17","","0.21","1.89","0.13","","","","","","","","","","","","","","","","1.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.46","","247.54","98.94","","","47.24","99.72","95.32","92.16","16.06","","","","","2.25","215.86","21.44","88.67","3.03","0.98","","","","","","","0.56","0.17","","","0.22","129.88","7.63","16.11","2.08","10.71","2.7","0.82","3.2","0.48","3.52","0.63","2.11","0.26","2.03","0.24","1.9","","","","","","","","","","2.01","","1.25","0.51","","","","","","","","","","","","","","","","","","","","","","","","","1006993",
"[19992]","CONTINENTAL FLOOD BASALT","SIBERIAN TRAPS / PUTORANA REGION / AYAN(SKY) FORMATION","DYUPKUN LAKE","68.4261244442314","68.4261244442314","93.6109928693623","93.6109928693623","SAE","","","s_S10-22 [19992]","BASALT [19992]","","","","","","","","","VOL","","","","","WR [19992] ","48.02","1.02","","14.3","","","","11.56","11.09","6.96","0.17","","0.3","1.88","0.13","","","","","","","","","","","","","","","","1.24","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.41","","253.59","158.17","","","45.68","101.5","110.34","90.33","16.13","","","","","3.86","205.44","22.1","95.88","4.16","0.96","","","","","","","1.17","0.16","","","0.24","154.27","8.4","17.41","2.3","11.46","2.83","0.81","3.38","0.5","3.67","0.64","2.22","0.28","2.15","0.27","2.07","","","","","","","","","","2.67","","1.48","0.54","","","","","","","","","","","","","","","","","","","","","","","","","1006994",
"[19992]","CONTINENTAL FLOOD BASALT","SIBERIAN TRAPS / PUTORANA REGION / KHONNAMAKITSKY FORMATION","KUREIKA RIVER","67.4099134001881","67.4099134001881","90.8903586119414","90.8903586119414","SAE","","","s_S10-25 [19992]","BASALT [19992]","","","","","","","","","VOL","","","","","WR [19992] ","47.66","1.19","","14.72","","","","12.93","10.8","6.6","0.2","","0.24","2.21","0.14","","","","","","","","","","","","","","","","1.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.83","","270.25","135.8","","","48.42","102","138.23","97.77","17.66","","","","","11.39","202.82","23.89","86.62","2.34","0.97","","","","","","","0.72","0.17","","","0.34","121.99","6.65","13.45","1.88","10.31","2.86","0.89","3.41","0.53","3.89","0.7","2.34","0.3","2.25","0.28","1.96","","","","","","","","","","2.45","","0.78","0.34","","","","","","","","","","","","","","","","","","","","","","","","","1006995",
"[19992]","CONTINENTAL FLOOD BASALT","SIBERIAN TRAPS / PUTORANA REGION / KHONNAMAKITSKY FORMATION","SEVERNAYA RIVER","66.3959313556553","66.3959313556553","89.7985793463887","89.7985793463887","SAE","","","s_S10-29 [19992]","BASALT [19992]","","","","","","","","","VOL","","","","","WR [19992] ","46.38","1.44","","14.02","","","","13.63","9.67","6.71","0.2","","0.49","2.3","0.19","","","","","","","","","","","","","","","","0.27","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.96","","316.77","149.6","","","48.33","120.33","180.91","103.01","18.03","","","","","11.25","176.88","28.86","109.68","5.12","0.94","","","","","","","0.86","0.15","","","0.29","134.3","7.13","16.57","2.32","12.44","3.58","1.07","4.36","0.64","4.78","0.86","2.87","0.36","2.71","0.34","3.19","","","","","","","","","","2.03","","1.21","0.53","","","","","","","","","","","","","","","","","","","","","","","","","1006996",
"[19992]","CONTINENTAL FLOOD BASALT","SIBERIAN TRAPS / PUTORANA REGION / KHONNAMAKITSKY FORMATION","SEVERNAYA RIVER","66.3959313556553","66.3959313556553","89.7985793463887","89.7985793463887","SAE","","","s_S10-42 [19992]","BASALT [19992]","","","","","","","","","VOL","","","","","WR [19992] ","48.01","1.5","","14.57","","","","13.95","10.03","6.93","0.21","","0.53","2.4","0.2","","","","","","","","","","","","","","","","0.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.11","","329.78","166.32","","","50.68","124.36","157.7","109.34","18.79","","","","","12.49","186.43","30.26","119.02","4.54","0.86","","","","","","","0.6","0.09","","","0.61","140.87","7.46","17.19","2.39","13.14","3.73","1.07","4.4","0.68","4.92","0.9","3.03","0.37","2.81","0.36","3","","","","","","","","","","2.26","","1.08","0.52","","","","","","","","","","","","","","","","","","","","","","","","","1006997",
