"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[20352]","OCEAN ISLAND","SAMOAN ISLANDS / SAVAI^I","","-13.5","-13.5","-172.5","-172.5","SAE","","","s_SA-3-9 [20352]","PERIDOTITE, XENOLITH [20352]","","","","","","","","","PER","","","","","WR [20352] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00069","","","","","","","","","","","","","","","","","","","","","","","","0.12295","","","","","","","","","","1056024",
"[20352]","OCEAN ISLAND","SAMOAN ISLANDS / SAVAI^I","","-13.5","-13.5","-172.5","-172.5","SAE","","","s_SA-3-9 [20352]","PERIDOTITE, XENOLITH [20352]","","","","","","","","","PER","","","","","WR [20352] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00062","","","","","","","","","","","","","","","","","","","","","","","","0.12118","","","","","","","","","","1056025",
"[20352]","OCEAN ISLAND","SAMOAN ISLANDS / SAVAI^I","","-13.5","-13.5","-172.5","-172.5","SAE","","","s_SA-3-9 [20352]","PERIDOTITE, XENOLITH [20352]","","","","","","","","","PER","","","","","WR [20352] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00077","","","","","","","","","","","","","","","","","","","","","","","","0.12196","","","","","","","","","","1056026",
"[20352]","OCEAN ISLAND","SAMOAN ISLANDS / SAVAI^I","","-13.5","-13.5","-172.5","-172.5","SAE","","","s_SA-3-3 [20352]","PERIDOTITE, XENOLITH [20352]","","","","","","","","","PER","","","","","WR [20352] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00131","","","","","","","","","","","","","","","","","","","","","","","","0.12709","","","","","","","","","","1056030",
"[20352]","OCEAN ISLAND","SAMOAN ISLANDS / SAVAI^I","","-13.5","-13.5","-172.5","-172.5","SAE","","","s_SA-3-3 [20352]","PERIDOTITE, XENOLITH [20352]","","","","","","","","","PER","","","","","WR [20352] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000005","0.00043","","","","","","","","","","","","","","","","","","","","","","","","0.12724","","","","","","","","","","1056031",
"[20352]","OCEAN ISLAND","SAMOAN ISLANDS / SAVAI^I","","-13.5","-13.5","-172.5","-172.5","SAE","","","s_SAV1-41 [20352]","PERIDOTITE, XENOLITH [20352]","","","","","","","","","PER","","","","","WR [20352] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00162","","","","","","","","","","","","","","","","","","","","","","","","0.11876","","","","","","","","","","1056032",
"[20352]","OCEAN ISLAND","SAMOAN ISLANDS / SAVAI^I","","-13.5","-13.5","-172.5","-172.5","SAE","","","s_SAV1-41 [20352]","PERIDOTITE, XENOLITH [20352]","","","","","","","","","PER","","","","","WR [20352] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0000009","0.00142","","","","","","","","","","","","","","","","","","","","","","","","0.11997","","","","","","","","","","1056033",
"[20352]","OCEAN ISLAND","SAMOAN ISLANDS / SAVAI^I","","-13.5","-13.5","-172.5","-172.5","SAE","","","s_SAV1-41 [20352]","PERIDOTITE, XENOLITH [20352]","","","","","","","","","PER","","","","","WR [20352] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0000003","0.00158","","","","","","","","","","","","","","","","","","","","","","","","0.11732","","","","","","","","","","1056034",
"[20352]","OCEAN ISLAND","SAMOAN ISLANDS / SAVAI^I","","-13.5","-13.5","-172.5","-172.5","SAE","","","s_SAV-05-29 [20352]","PERIDOTITE, XENOLITH [20352]","","","","","","","","","PER","","","","","WR [20352] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000036","","","","","","","","","","","","","","","","","","","","","","","","0.12628","","","","","","","","","","1056047",
"[20352]","OCEAN ISLAND","SAMOAN ISLANDS / SAVAI^I","","-13.5","-13.5","-172.5","-172.5","SAE","","","s_SA-3-9 [20352]","PERIDOTITE, XENOLITH [20352]","","","","","","","","","PER","","","","HE3_HE4(R/R(A)) from OLIVINE [20352]","MIN [20352] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.16","","","","","1056062",
